Id,MSSubClass,MSZoning,LotFrontage,LotArea,Street,Alley,LotShape,LandContour,Utilities,LotConfig,LandSlope,Neighborhood,Condition1,Condition2,BldgType,HouseStyle,OverallQual,OverallCond,YearBuilt,YearRemodAdd,RoofStyle,RoofMatl,Exterior1st,Exterior2nd,MasVnrType,MasVnrArea,ExterQual,ExterCond,Foundation,BsmtQual,BsmtCond,BsmtExposure,BsmtFinType1,BsmtFinSF1,BsmtFinType2,BsmtFinSF2,BsmtUnfSF,TotalBsmtSF,Heating,HeatingQC,CentralAir,Electrical,1stFlrSF,2ndFlrSF,LowQualFinSF,GrLivArea,BsmtFullBath,BsmtHalfBath,FullBath,HalfBath,BedroomAbvGr,KitchenAbvGr,KitchenQual,TotRmsAbvGrd,Functional,Fireplaces,FireplaceQu,GarageType,GarageYrBlt,GarageFinish,GarageCars,GarageArea,GarageQual,GarageCond,PavedDrive,WoodDeckSF,OpenPorchSF,EnclosedPorch,3SsnPorch,ScreenPorch,PoolArea,PoolQC,Fence,MiscFeature,MiscVal,MoSold,YrSold,SaleType,SaleCondition,SalePrice,logSalePrice,encBsmtCond,encBsmtExposure,encBsmtQual,encCentralAir,encExterCond,encExterQual,encFireplaceQu,encGarageFinish,encGarageQual,encHeatingQC,encKitchenQual,encLotShape,encPavedDrive,encSaleCondition,clipGrLivArea,logclipGrLivArea,clipGarageArea,sqrGarageCars,Bath,clipTotalBsmtSF,isRecentRemod,RemodAge,isFireplace,encFoundation,encFunctional,encGarageType,encHouseStyle,encNeighborhood,logencNeighborhood,logGarageArea,residuals,encBsmtFinType1,isStone,logLotArea,BldgType_1Fam,BldgType_2fmCon,BldgType_Duplex,BldgType_Twnhs,BldgType_TwnhsE,Porch,logTotalBsmtSF
430,20,RL,130.0,11457,Pave,Null,IR1,Lvl,AllPub,Corner,Gtl,Timber,Norm,Norm,1Fam,1Story,6,5,1988,1988,Gable,CompShg,HdBoard,HdBoard,None,0.0,TA,TA,CBlock,Gd,TA,Mn,GLQ,1005,Unf,0,387,1392,GasA,TA,Y,SBrkr,1412,0,0,1412,1,0,2,0,3,1,Gd,6,Typ,1,TA,Attchd,1988.0,Unf,2,576,TA,TA,Y,0,0,169,0,0,0,Null,Null,Null,0,3,2009,WD,Normal,175000,12.07254696717504,2.0,2.0,2.0,1.0,2.0,1.0,2.0,1.0,2.0,2.0,2.0,1.0,2.0,1.0,1412,7.253470382684528,576,4,2.0,1392,1,0,1,1.0,0.0,2.0,1.0,228475.0,12.339186450977309,6.3578422665081,0.10014334003315994,5.0,0,9.346443454968522,1,0,0,0,0,0,7.239214973779806
431,160,RM,21.0,1680,Pave,Null,Reg,Lvl,AllPub,Inside,Gtl,BrDale,Norm,Norm,Twnhs,2Story,6,5,1971,1971,Gable,CompShg,HdBoard,HdBoard,BrkFace,232.0,TA,TA,CBlock,TA,TA,No,ALQ,387,Unf,0,96,483,GasA,TA,Y,SBrkr,483,504,0,987,0,0,1,1,2,1,TA,4,Typ,0,Null,Detchd,1971.0,Unf,1,264,TA,TA,Y,0,0,0,0,0,0,Null,Null,Null,0,7,2008,COD,Abnorml,85400,11.355113089309976,2.0,1.0,1.0,1.0,2.0,1.0,0.0,1.0,2.0,2.0,1.0,0.0,2.0,0.0,987,6.895682697747868,264,1,1.5,483,0,0,0,1.0,0.0,1.0,2.0,106000.0,11.571203807011967,5.579729825986222,0.07444410439914861,6.0,0,7.427144133408616,0,0,0,1,0,0,6.182084906716632
432,50,RM,60.0,5586,Pave,Null,IR1,Bnk,AllPub,Inside,Gtl,OldTown,Feedr,Norm,1Fam,1.5Fin,6,7,1920,1998,Gable,CompShg,MetalSd,MetalSd,None,0.0,TA,TA,BrkTil,TA,TA,No,Unf,0,Unf,0,901,901,GasA,Gd,Y,SBrkr,1088,110,0,1198,0,0,1,0,4,1,TA,7,Typ,0,Null,Null,,Null,0,0,Null,Null,N,0,98,0,0,0,0,Null,MnPrv,Null,0,9,2008,ConLD,Abnorml,79900,11.2885436473206,2.0,1.0,1.0,1.0,2.0,1.0,0.0,0.0,0.0,3.0,1.0,1.0,0.0,0.0,1198,7.089243155027514,150,0,1.0,901,1,78,0,0.0,0.0,0.0,0.0,119000.0,11.686887175419702,0.0,0.203139435355828,1.0,0,8.628197749459149,1,0,0,0,0,98,6.804614520062624
433,160,RM,24.0,1920,Pave,Null,Reg,Lvl,AllPub,Inside,Gtl,BrDale,Norm,Norm,TwnhsE,2Story,5,5,1971,1971,Gable,CompShg,HdBoard,HdBoard,BrkFace,376.0,TA,TA,CBlock,TA,TA,No,ALQ,471,Unf,0,294,765,GasA,Ex,Y,SBrkr,765,600,0,1365,1,0,1,1,2,1,TA,6,Min1,0,Null,Detchd,1971.0,Unf,2,440,TA,TA,Y,240,36,0,0,0,0,Null,Null,Null,0,8,2007,WD,Normal,122500,11.715874472198903,2.0,1.0,1.0,1.0,2.0,1.0,0.0,1.0,2.0,4.0,1.0,0.0,2.0,1.0,1365,7.219642040130735,440,4,1.5,765,0,0,0,1.0,2.0,1.0,2.0,106000.0,11.571203807011967,6.089044875446846,-0.03302086637085466,6.0,0,7.560601162768557,0,0,0,0,1,276,6.641182169740591
434,60,RL,100.0,10839,Pave,Null,IR1,Lvl,AllPub,Corner,Gtl,Gilbert,Norm,Norm,1Fam,2Story,6,5,1997,1998,Gable,CompShg,VinylSd,VinylSd,None,0.0,TA,TA,PConc,Gd,TA,No,Unf,0,Unf,0,926,926,GasA,Ex,Y,SBrkr,926,678,0,1604,0,0,2,1,3,1,TA,7,Typ,1,TA,Attchd,1997.0,Fin,2,470,TA,TA,Y,0,36,0,0,0,0,Null,Null,Null,0,7,2008,WD,Normal,181000,12.10625783509458,2.0,1.0,2.0,1.0,2.0,1.0,2.0,3.0,2.0,4.0,1.0,1.0,2.0,1.0,1604,7.380879035564116,470,4,2.5,926,1,1,1,2.0,0.0,2.0,2.0,181000.0,12.10625783509458,6.154858094016418,-0.012220865153118154,1.0,0,9.290998274993637,1,0,0,0,0,36,6.831953565565855
435,180,RM,21.0,1890,Pave,Null,Reg,Lvl,AllPub,Inside,Gtl,MeadowV,Norm,Norm,Twnhs,SFoyer,4,7,1972,1972,Gable,CompShg,CemntBd,CmentBd,None,0.0,TA,Gd,CBlock,Gd,TA,Av,ALQ,495,Unf,0,135,630,GasA,Gd,Y,SBrkr,630,0,0,630,1,0,1,0,1,1,TA,3,Typ,0,Null,Null,,Null,0,0,Null,Null,Y,88,0,0,0,0,0,Null,Null,Null,0,6,2008,WD,Normal,81000,11.302216779257382,2.0,3.0,2.0,1.0,3.0,1.0,0.0,0.0,0.0,3.0,1.0,0.0,2.0,1.0,630,6.447305862541213,150,0,1.0,630,0,0,0,1.0,0.0,0.0,,88000.0,11.38510345703214,0.0,0.0367892741168383,6.0,0,7.544861068658458,0,0,0,1,0,88,6.447305862541213
436,60,RL,43.0,10667,Pave,Null,IR2,Lvl,AllPub,CulDSac,Gtl,CollgCr,PosN,Norm,1Fam,2Story,7,6,1996,1996,Gable,CompShg,VinylSd,VinylSd,None,0.0,Gd,TA,PConc,Gd,TA,Av,GLQ,385,ALQ,344,70,799,GasA,Ex,Y,SBrkr,827,834,0,1661,1,0,2,1,3,1,Gd,6,Typ,1,TA,Attchd,1996.0,RFn,2,550,TA,TA,Y,158,61,0,0,0,0,Null,Null,Null,0,4,2009,ConLw,Normal,212000,12.264346270624156,2.0,3.0,2.0,1.0,2.0,2.0,2.0,2.0,2.0,4.0,2.0,2.0,2.0,1.0,1661,7.415776975415394,550,4,2.5,799,1,0,1,2.0,0.0,2.0,2.0,197200.0,12.19197879213173,6.311734809152915,0.00982304648657717,5.0,0,9.275003885301905,1,0,0,0,0,219,6.684611727667927
437,50,RM,40.0,4400,Pave,Null,Reg,Lvl,AllPub,Inside,Gtl,OldTown,Norm,Norm,1Fam,1.5Fin,6,8,1920,1950,Gable,CompShg,Stucco,Stucco,None,0.0,TA,TA,BrkTil,Fa,TA,No,Unf,0,Unf,0,648,648,GasA,TA,Y,FuseA,734,384,0,1118,0,0,1,0,2,1,TA,6,Typ,0,Null,Detchd,1990.0,Unf,2,440,TA,TA,Y,0,0,0,0,0,0,Null,Null,Null,0,10,2006,WD,Normal,116000,11.661354090741,2.0,1.0,0.0,1.0,2.0,1.0,0.0,1.0,2.0,2.0,1.0,0.0,2.0,1.0,1118,7.020190708311925,440,4,1.0,648,0,30,0,0.0,0.0,1.0,0.0,119000.0,11.686887175419702,6.089044875446846,-0.045224629094928304,1.0,0,8.38958706681109,1,0,0,0,0,0,6.47543271670409
438,45,RM,50.0,6000,Pave,Null,Reg,Lvl,AllPub,Inside,Gtl,BrkSide,Norm,Norm,1Fam,1.5Unf,6,7,1926,2004,Gable,CompShg,Wd Sdng,Wd Sdng,None,0.0,Gd,TA,PConc,TA,TA,No,Unf,0,Unf,0,884,884,GasA,Gd,Y,SBrkr,904,0,0,904,0,0,1,0,2,1,TA,4,Typ,0,Null,Detchd,1926.0,Unf,1,180,TA,TA,Y,0,0,105,0,0,0,Null,Null,Null,0,1,2009,WD,Normal,119000,11.686887175419702,2.0,1.0,1.0,1.0,2.0,2.0,0.0,1.0,2.0,3.0,1.0,0.0,2.0,1.0,904,6.807934943699926,180,1,1.0,884,1,78,0,2.0,0.0,1.0,,124300.0,11.730461322518734,5.198497031265826,-0.022716272711004848,1.0,0,8.699681400989514,1,0,0,0,0,0,6.785587645007929
439,30,RL,40.0,4280,Pave,Null,Reg,Lvl,AllPub,Inside,Gtl,Crawfor,Norm,Norm,1Fam,1Story,5,6,1913,2002,Gable,CompShg,WdShing,Stucco,None,0.0,TA,TA,PConc,TA,TA,No,LwQ,365,Unf,0,75,440,GasA,TA,N,SBrkr,694,0,0,694,0,0,1,0,2,1,Gd,4,Typ,1,Gd,Detchd,1990.0,Unf,1,352,Gd,TA,P,0,0,34,0,0,0,Null,MnPrv,Null,0,3,2007,WD,Normal,90350,11.411457364027743,2.0,1.0,1.0,0.0,2.0,1.0,3.0,1.0,3.0,2.0,2.0,0.0,1.0,1.0,694,6.543911845564792,352,1,1.0,440,1,89,1,2.0,0.0,1.0,1.0,200624.0,12.209192772866418,5.8664680569332965,0.1000350622716244,2.0,0,8.361941906144946,1,0,0,0,0,0,6.089044875446846
440,50,RL,67.0,12354,Pave,Grvl,Reg,Lvl,AllPub,Corner,Gtl,Edwards,Norm,Norm,1Fam,1.5Fin,6,8,1920,2000,Gable,CompShg,Wd Sdng,Wd Sdng,None,0.0,TA,TA,BrkTil,TA,Fa,Mn,Unf,0,Unf,0,684,684,GasA,Gd,Y,SBrkr,684,512,0,1196,0,0,1,0,3,1,Gd,7,Typ,0,Null,Detchd,2005.0,Unf,2,528,TA,TA,Y,0,46,0,0,0,0,Null,GdPrv,Shed,800,8,2009,ConLI,Normal,110000,11.60824473564232,1.0,2.0,1.0,1.0,2.0,1.0,0.0,1.0,2.0,3.0,2.0,0.0,2.0,1.0,1196,7.087573705557973,528,4,1.0,684,1,80,0,0.0,0.0,1.0,0.0,121750.0,11.709733254463467,6.270988431858299,0.18049074407055699,1.0,0,9.42181611842271,1,0,0,0,0,46,6.529418838262226
441,20,RL,105.0,15431,Pave,Null,Reg,Lvl,AllPub,Inside,Gtl,NridgHt,Norm,Norm,1Fam,1Story,10,5,2008,2008,Hip,CompShg,VinylSd,VinylSd,Stone,200.0,Ex,TA,PConc,Ex,TA,Gd,GLQ,1767,ALQ,539,788,3094,GasA,Ex,Y,SBrkr,2402,0,0,2402,1,0,2,0,2,1,Ex,10,Typ,2,Gd,Attchd,2008.0,Fin,3,672,TA,TA,Y,0,72,0,0,170,0,Null,Null,Null,0,4,2009,WD,Normal,555000,13.22672519452875,2.0,4.0,3.0,1.0,2.0,3.0,3.0,3.0,2.0,4.0,3.0,0.0,2.0,1.0,2402,7.784473235736469,672,9,2.0,2500,1,0,1,2.0,0.0,2.0,1.0,315000.0,12.660331092405906,6.511745329644728,0.02029745746461664,5.0,1,9.644198554585564,1,0,0,0,0,242,8.037543185118697
442,90,RL,92.0,12108,Pave,Null,Reg,Lvl,AllPub,Inside,Gtl,Edwards,Norm,Norm,Duplex,1Story,4,4,1955,1955,Gable,CompShg,VinylSd,VinylSd,BrkFace,270.0,TA,TA,CBlock,TA,TA,No,ALQ,133,Unf,0,1307,1440,GasA,TA,N,FuseF,1440,0,0,1440,0,0,2,0,4,2,Fa,8,Typ,0,Null,Null,,Null,0,0,Null,Null,Y,0,0,0,0,0,0,Null,Null,Null,0,9,2008,WD,Normal,118000,11.678448377988165,2.0,1.0,1.0,0.0,2.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,2.0,1.0,1440,7.273092595999522,150,0,2.0,1440,0,0,0,1.0,0.0,0.0,1.0,121750.0,11.709733254463467,0.0,-0.11649081331944977,6.0,0,9.401704256754366,0,0,1,0,0,0,7.273092595999522
443,50,RM,52.0,6240,Pave,Null,Reg,Lvl,AllPub,Inside,Gtl,BrkSide,Norm,Norm,1Fam,1.5Fin,5,7,1930,1992,Gable,CompShg,MetalSd,MetalSd,None,0.0,TA,TA,PConc,TA,TA,No,Unf,0,Unf,0,1078,1078,GasA,TA,Y,SBrkr,1128,445,0,1573,0,0,2,0,3,1,TA,8,Typ,1,Gd,Detchd,1930.0,Unf,2,360,TA,TA,P,0,0,0,0,0,0,Null,Null,Null,0,6,2008,WD,Normal,162900,12.000897933306716,2.0,1.0,1.0,1.0,2.0,1.0,3.0,1.0,2.0,2.0,1.0,0.0,1.0,1.0,1573,7.361375428977347,360,4,2.0,1078,1,62,1,2.0,0.0,1.0,0.0,124300.0,11.730461322518734,5.8888779583328805,-0.10937273959891414,1.0,0,8.738895704934043,1,0,0,0,0,0,6.983789965258135
444,120,RL,53.0,3922,Pave,Null,Reg,Lvl,AllPub,Inside,Gtl,Blmngtn,Norm,Norm,TwnhsE,1Story,7,5,2006,2007,Gable,CompShg,WdShing,Wd Shng,BrkFace,72.0,Gd,TA,PConc,Ex,TA,Av,Unf,0,Unf,0,1258,1258,GasA,Ex,Y,SBrkr,1258,0,0,1258,0,0,2,0,2,1,Gd,6,Typ,1,Gd,Attchd,2007.0,Fin,3,648,TA,TA,Y,144,16,0,0,0,0,Null,Null,Null,0,6,2007,New,Partial,172500,12.058158312538197,2.0,3.0,3.0,1.0,2.0,2.0,3.0,3.0,2.0,4.0,2.0,0.0,2.0,2.0,1258,7.138073034044347,648,9,2.0,1258,1,1,1,2.0,0.0,2.0,1.0,191000.0,12.160033942617156,6.47543271670409,0.10021820950310101,1.0,0,8.274611946209552,0,0,0,0,1,160,7.138073034044347
445,60,RL,70.0,8750,Pave,Null,Reg,Lvl,AllPub,Inside,Gtl,CollgCr,Norm,Norm,1Fam,2Story,7,5,1994,1995,Gable,CompShg,VinylSd,VinylSd,None,0.0,Gd,Gd,PConc,Gd,TA,No,GLQ,642,Unf,0,273,915,GasA,Ex,Y,SBrkr,933,975,0,1908,1,0,2,1,4,1,Gd,8,Typ,1,TA,Attchd,1994.0,Unf,2,493,TA,TA,Y,144,133,0,0,0,0,Null,Null,Null,0,7,2008,WD,Normal,210000,12.25486757159303,2.0,1.0,2.0,1.0,3.0,2.0,2.0,1.0,2.0,4.0,2.0,0.0,2.0,1.0,1908,7.554334823725748,493,4,2.5,915,1,1,1,2.0,0.0,2.0,2.0,197200.0,12.19197879213173,6.202535517187923,0.03666151719313682,5.0,0,9.076923258535832,1,0,0,0,0,277,6.82001636467413
446,20,RL,73.0,9855,Pave,Null,Reg,Lvl,AllPub,Corner,Gtl,Edwards,Norm,Norm,1Fam,1Story,6,5,1956,1956,Hip,CompShg,Wd Sdng,Wd Sdng,None,0.0,TA,TA,CBlock,TA,TA,No,Unf,0,Unf,0,1436,1436,GasA,Fa,Y,SBrkr,1689,0,0,1689,0,0,1,0,3,1,TA,7,Typ,1,Gd,Attchd,1956.0,Unf,2,480,TA,TA,Y,0,0,0,0,0,0,Null,MnPrv,Null,0,11,2009,COD,Normal,127500,11.755879486687116,2.0,1.0,1.0,1.0,2.0,1.0,3.0,1.0,2.0,1.0,1.0,0.0,2.0,1.0,1689,7.432483807917119,480,4,1.0,1436,0,0,1,1.0,0.0,2.0,1.0,121750.0,11.709733254463467,6.175867270105761,0.10004131798419102,1.0,0,9.1958356857733,1,0,0,0,0,0,7.270312886079025
447,20,RL,137.0,16492,Pave,Null,IR1,Lvl,AllPub,Corner,Gtl,NAmes,PosA,Norm,1Fam,1Story,6,6,1966,2002,Gable,CompShg,BrkFace,Plywood,None,0.0,Gd,TA,CBlock,TA,TA,No,ALQ,247,Rec,713,557,1517,GasA,Ex,Y,SBrkr,1888,0,0,1888,0,0,2,1,2,1,Gd,6,Mod,1,Gd,Attchd,1966.0,Fin,2,578,TA,TA,Y,0,0,0,0,0,0,Null,Null,Null,0,6,2010,WD,Normal,190000,12.154784614286667,2.0,1.0,1.0,1.0,2.0,2.0,3.0,3.0,2.0,4.0,2.0,1.0,2.0,1.0,1888,7.543802867501509,578,4,2.5,1517,1,36,1,1.0,1.0,2.0,1.0,140000.0,11.849404844423074,6.361302477572996,0.07327731519158753,6.0,0,9.710691327448153,1,0,0,0,0,0,7.325148957955575
448,60,RL,,11214,Pave,Null,IR1,Lvl,AllPub,Corner,Gtl,Gilbert,Norm,Norm,1Fam,2Story,7,5,1998,1999,Gable,CompShg,VinylSd,VinylSd,None,0.0,Gd,TA,PConc,Gd,TA,No,Unf,0,Unf,0,930,930,GasA,Gd,Y,SBrkr,956,930,0,1886,0,0,2,1,4,1,Gd,10,Typ,1,TA,Attchd,1998.0,Fin,2,431,TA,TA,Y,89,0,0,0,0,0,Null,Null,Null,0,7,2006,WD,Normal,199900,12.20557752297723,2.0,1.0,2.0,1.0,2.0,2.0,2.0,3.0,2.0,3.0,2.0,1.0,2.0,1.0,1886,7.54274354536855,431,4,2.5,930,1,1,1,2.0,0.0,2.0,2.0,181000.0,12.10625783509458,6.068425588244111,0.013950013920357662,1.0,0,9.32500744695431,1,0,0,0,0,89,6.836259277277067
449,50,RM,50.0,8600,Pave,Null,Reg,Bnk,AllPub,Inside,Gtl,IDOTRR,Norm,Norm,1Fam,1.5Fin,6,6,1937,1950,Gable,CompShg,MetalSd,MetalSd,None,0.0,TA,TA,BrkTil,TA,TA,No,Unf,0,Unf,0,780,780,GasA,TA,Y,SBrkr,780,596,0,1376,0,0,2,0,3,1,TA,7,Typ,1,Gd,Detchd,1937.0,Unf,1,198,TA,TA,N,0,0,0,0,0,0,Null,Null,Null,0,6,2006,WD,Normal,119500,11.691080018519528,2.0,1.0,1.0,1.0,2.0,1.0,3.0,1.0,2.0,2.0,1.0,0.0,0.0,1.0,1376,7.227662498728654,198,1,2.0,780,0,13,1,0.0,0.0,1.0,0.0,103000.0,11.542493975902508,5.293304824724492,-0.005349511463299095,1.0,0,9.059633754551479,1,0,0,0,0,0,6.660575149839686
450,50,RM,50.0,6000,Pave,Null,Reg,Lvl,AllPub,Inside,Gtl,OldTown,Norm,Norm,1Fam,1.5Fin,3,7,1948,2002,Gable,CompShg,MetalSd,MetalSd,None,0.0,TA,Gd,CBlock,TA,TA,No,ALQ,331,Unf,0,318,649,GasA,Ex,Y,SBrkr,679,504,0,1183,0,0,1,1,2,1,TA,6,Typ,0,Null,Detchd,1981.0,Unf,1,308,TA,TA,Y,0,176,0,0,0,0,Null,Null,Null,0,6,2007,WD,Normal,120000,11.695255355062796,2.0,1.0,1.0,1.0,3.0,1.0,0.0,1.0,2.0,4.0,1.0,0.0,2.0,1.0,1183,7.076653815443951,308,1,1.5,649,1,54,0,1.0,0.0,1.0,0.0,119000.0,11.686887175419702,5.733341276897746,-0.020000711962094186,6.0,0,8.699681400989514,1,0,0,0,0,176,6.476972362889683
451,30,RM,70.0,5684,Pave,Null,Reg,Lvl,AllPub,Inside,Gtl,OldTown,Norm,Norm,1Fam,1Story,6,8,1930,2005,Hip,CompShg,Wd Sdng,Wd Sdng,None,0.0,TA,TA,BrkTil,TA,TA,No,Unf,0,Unf,0,813,813,GasA,Ex,Y,FuseA,813,0,0,813,0,0,1,0,2,1,Gd,5,Typ,0,Null,Detchd,1932.0,Unf,1,270,Fa,Fa,N,0,113,0,0,0,0,Null,Null,Null,0,6,2006,WD,Normal,110000,11.60824473564232,2.0,1.0,1.0,1.0,2.0,1.0,0.0,1.0,1.0,4.0,2.0,0.0,0.0,1.0,813,6.70196036600254,270,1,1.0,813,1,75,0,0.0,0.0,1.0,1.0,119000.0,11.686887175419702,5.602118820879701,-0.057501562100890524,1.0,0,8.645586406184636,1,0,0,0,0,113,6.70196036600254
452,20,RL,62.0,70761,Pave,Null,IR1,Low,AllPub,Inside,Mod,ClearCr,Norm,Norm,1Fam,1Story,7,5,1975,1975,Gable,WdShngl,Plywood,Plywood,None,0.0,TA,TA,CBlock,Gd,TA,Gd,ALQ,655,Unf,0,878,1533,GasA,TA,Y,SBrkr,1533,0,0,1533,1,0,2,0,2,1,Gd,5,Typ,2,TA,Attchd,1975.0,Unf,2,576,TA,TA,Y,200,54,0,0,0,0,Null,Null,Null,0,12,2006,WD,Normal,280000,12.54254845357358,2.0,4.0,2.0,1.0,2.0,1.0,2.0,1.0,2.0,2.0,2.0,1.0,2.0,1.0,1533,7.335633981927201,576,4,2.0,1533,0,0,1,1.0,0.0,2.0,1.0,200250.0,12.20732685867594,6.3578422665081,-0.12707190496365683,6.0,0,11.167077412430533,1,0,0,0,0,254,7.335633981927201
453,60,RL,,9303,Pave,Null,IR1,Lvl,AllPub,Corner,Gtl,Timber,Norm,Norm,1Fam,2Story,6,5,1996,1997,Hip,CompShg,VinylSd,VinylSd,BrkFace,42.0,Gd,TA,PConc,Ex,TA,No,ALQ,742,Unf,0,130,872,GasA,Ex,Y,SBrkr,888,868,0,1756,1,0,2,1,3,1,TA,7,Typ,0,Null,Attchd,1996.0,Fin,2,422,TA,TA,Y,144,122,0,0,0,0,Null,Null,Null,0,7,2007,WD,Normal,204000,12.225880174775122,2.0,1.0,3.0,1.0,2.0,2.0,0.0,3.0,2.0,4.0,1.0,1.0,2.0,1.0,1756,7.471363088187097,422,4,2.5,872,1,1,0,2.0,0.0,2.0,2.0,228475.0,12.339186450977309,6.0473721790462776,0.002054994322344683,6.0,0,9.1381996941985,1,0,0,0,0,266,6.771935555839602
454,60,FV,75.0,9000,Pave,Null,Reg,Lvl,AllPub,Inside,Gtl,Somerst,Norm,Norm,1Fam,2Story,8,5,2008,2008,Gable,CompShg,VinylSd,VinylSd,None,0.0,Gd,TA,PConc,Gd,TA,No,Unf,0,Unf,0,768,768,GasA,Ex,Y,SBrkr,786,804,0,1590,0,0,2,1,3,1,Gd,6,Typ,0,Null,Attchd,2008.0,RFn,2,676,TA,TA,Y,0,30,0,0,0,0,Null,Null,Null,0,6,2009,WD,Normal,210000,12.25486757159303,2.0,1.0,2.0,1.0,2.0,2.0,0.0,2.0,2.0,4.0,2.0,0.0,2.0,1.0,1590,7.372118028337787,676,4,2.5,768,1,0,0,2.0,0.0,2.0,2.0,225500.0,12.326079872504838,6.517671272912275,-0.07406886710393934,1.0,0,9.105090961257085,1,0,0,0,0,30,6.645090969505644
455,90,RL,63.0,9297,Pave,Null,Reg,Lvl,AllPub,Inside,Gtl,Mitchel,Norm,Norm,Duplex,1Story,5,5,1976,1976,Gable,CompShg,Plywood,Plywood,None,0.0,TA,TA,CBlock,TA,TA,No,ALQ,1606,Unf,0,122,1728,GasA,TA,Y,SBrkr,1728,0,0,1728,2,0,2,0,4,2,TA,8,Typ,0,Null,Detchd,1976.0,Unf,2,560,TA,TA,Y,0,0,0,0,0,0,Null,Null,Null,0,7,2006,WD,Family,188000,12.144202560946876,2.0,1.0,1.0,1.0,2.0,1.0,0.0,1.0,2.0,2.0,1.0,0.0,2.0,,1728,7.455298485683291,560,4,2.0,1728,0,0,0,1.0,0.0,1.0,1.0,153500.0,11.941462360646147,6.329720905522696,-0.11484586188754875,6.0,0,9.13755460225053,0,0,1,0,0,0,7.455298485683291
456,20,RL,80.0,9600,Pave,Null,Reg,Lvl,AllPub,Inside,Gtl,NWAmes,Norm,Norm,1Fam,1Story,7,6,1973,1973,Hip,CompShg,HdBoard,HdBoard,BrkFace,320.0,TA,TA,CBlock,TA,TA,No,ALQ,916,Unf,0,326,1242,GasA,Fa,Y,SBrkr,1242,0,0,1242,0,0,1,1,3,1,TA,6,Typ,1,TA,Attchd,1973.0,Unf,2,528,TA,TA,Y,0,0,0,0,0,0,Null,Null,Null,0,9,2007,WD,Normal,175500,12.075400019877522,2.0,1.0,1.0,1.0,2.0,1.0,2.0,1.0,2.0,1.0,1.0,0.0,2.0,1.0,1242,7.125283091510712,528,4,1.5,1242,0,0,1,1.0,0.0,2.0,1.0,182900.0,12.116700301832571,6.270988431858299,-0.011586174186346554,6.0,0,9.169622538697624,1,0,0,0,0,0,7.1252830915107115
457,70,RM,34.0,4571,Pave,Grvl,Reg,Lvl,AllPub,Inside,Gtl,OldTown,Norm,Norm,1Fam,2Story,5,5,1916,1950,Gable,CompShg,AsbShng,AsbShng,None,0.0,TA,TA,BrkTil,TA,TA,No,Unf,0,Unf,0,624,624,GasA,Fa,N,SBrkr,624,720,0,1344,0,0,1,0,4,1,TA,7,Typ,0,Null,Detchd,1916.0,Unf,3,513,Fa,Fa,Y,0,0,96,0,0,0,Null,Null,Null,0,5,2008,COD,Abnorml,98000,11.49273296168228,2.0,1.0,1.0,0.0,2.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,2.0,0.0,1344,7.20414929203594,513,9,1.0,624,0,34,0,0.0,0.0,1.0,2.0,119000.0,11.686887175419702,6.2422232654551655,-0.10039101962199304,1.0,0,8.427706024914702,1,0,0,0,0,0,6.437751649736401
458,20,RL,,53227,Pave,Null,IR1,Low,AllPub,CulDSac,Mod,ClearCr,Norm,Norm,1Fam,1Story,4,6,1954,1994,Flat,Tar&Grv,Plywood,Plywood,None,0.0,TA,TA,CBlock,Gd,TA,Gd,BLQ,1116,Unf,0,248,1364,GasA,Ex,Y,SBrkr,1663,0,0,1663,1,0,1,0,2,1,Gd,6,Min1,2,Gd,Attchd,1954.0,Fin,2,529,TA,TA,Y,224,137,0,0,0,0,Null,Null,Null,0,3,2008,WD,Normal,256000,12.45293662970407,2.0,4.0,2.0,1.0,2.0,1.0,3.0,3.0,2.0,4.0,2.0,1.0,2.0,1.0,1663,7.416979621381154,529,4,1.0,1364,1,40,1,1.0,2.0,2.0,1.0,200250.0,12.20732685867594,6.272877006546167,-0.14639062904385192,4.0,0,10.882339852663634,1,0,0,0,0,361,7.21890970761906
459,70,RM,,5100,Pave,Grvl,Reg,Lvl,AllPub,Inside,Gtl,OldTown,Norm,Norm,1Fam,2Story,8,7,1925,1996,Hip,CompShg,Stucco,Wd Shng,None,0.0,TA,Gd,PConc,TA,TA,No,Unf,0,Unf,0,588,588,GasA,Fa,Y,SBrkr,833,833,0,1666,0,0,1,0,3,1,Gd,7,Typ,1,Gd,Detchd,1925.0,Unf,1,228,TA,TA,Y,192,63,0,0,0,0,Null,MnPrv,Null,0,6,2008,WD,Normal,161000,11.989165855127435,2.0,1.0,1.0,1.0,3.0,1.0,3.0,1.0,2.0,1.0,2.0,0.0,2.0,1.0,1666,7.418780882750794,228,1,1.0,588,1,71,1,2.0,0.0,1.0,2.0,119000.0,11.686887175419702,5.43372200355424,-0.08805764048564413,1.0,0,8.537191877922927,1,0,0,0,0,255,6.3784261836515865
